index,features,weights,run_id,tool
681,age_67 <= 0.00,0.20232458896732797,1702066597700,LIME
681,0.00 < an_pleural_effusion_0.0 <= 1.00,0.015009940362362558,1702066597700,LIME
681,age_54 <= 0.00,-0.009847094067861547,1702066597700,LIME
681,an_pleural_effusion_1.0 <= 0.00,0.0021778482085792732,1702066597700,LIME
681,pr_firstorder_MeanAbsoluteDeviation_5.476 <= 0.00,0.0014644974940531505,1702066597700,LIME
210,pr_firstorder_MeanAbsoluteDeviation_6.0265 <= 0.00,0.703804043224679,1702066597700,LIME
210,pr_firstorder_MeanAbsoluteDeviation_5.5755 <= 0.00,0.6728336064863898,1702066597700,LIME
210,age_84 <= 0.00,0.6699859946480751,1702066597700,LIME
210,age_74 <= 0.00,0.38371105574497216,1702066597700,LIME
210,age_75 <= 0.00,0.36989897627533663,1702066597700,LIME
210,age_67 <= 0.00,0.18175582470190882,1702066597700,LIME
210,0.00 < an_pleural_effusion_0.0 <= 1.00,0.012311787478448088,1702066597700,LIME
210,age_54 <= 0.00,-0.0053966317537698085,1702066597700,LIME
210,pr_firstorder_MeanAbsoluteDeviation_5.2309 <= 0.00,0.0023761935178961435,1702066597700,LIME
210,an_pleural_effusion_1.0 <= 0.00,-0.001147251045582431,1702066597700,LIME
1120,pr_firstorder_MeanAbsoluteDeviation_6.0265 <= 0.00,0.7527692408881435,1702066597700,LIME
1120,age_84 <= 0.00,0.6901690650594272,1702066597700,LIME
1120,pr_firstorder_MeanAbsoluteDeviation_5.5755 <= 0.00,0.6623828219360172,1702066597700,LIME
1120,age_75 <= 0.00,0.4504634402815125,1702066597700,LIME
1120,age_74 <= 0.00,0.4158667739184001,1702066597700,LIME
1120,age_67 <= 0.00,0.24178677336267287,1702066597700,LIME
1120,an_pleural_effusion_0.0 <= 0.00,-0.014977110582973295,1702066597700,LIME
1120,pr_firstorder_MeanAbsoluteDeviation_5.2309 <= 0.00,0.011956578375445386,1702066597700,LIME
1120,an_pleural_effusion_1.0 > 0.00,-0.003583158786574132,1702066597700,LIME
1120,pr_firstorder_MeanAbsoluteDeviation_5.5566 <= 0.00,-0.0031346678402316853,1702066597700,LIME
857,pr_firstorder_MeanAbsoluteDeviation_6.0265 <= 0.00,0.7000987974649726,1702066597700,LIME
857,age_84 <= 0.00,0.6792143022925959,1702066597700,LIME
857,pr_firstorder_MeanAbsoluteDeviation_5.5755 <= 0.00,0.6732584299749788,1702066597700,LIME
857,age_75 <= 0.00,0.4321631290464535,1702066597700,LIME
857,age_74 <= 0.00,0.32052988674961824,1702066597700,LIME
857,age_67 <= 0.00,0.24024199328770177,1702066597700,LIME
857,0.00 < an_pleural_effusion_0.0 <= 1.00,0.01305812711670833,1702066597700,LIME
857,age_54 <= 0.00,-0.003848452123722619,1702066597700,LIME
857,pr_firstorder_MeanAbsoluteDeviation_5.476 <= 0.00,-0.002624706822850946,1702066597700,LIME
857,pr_firstorder_MeanAbsoluteDeviation_5.2309 <= 0.00,0.002043459663048116,1702066597700,LIME
657,pr_firstorder_MeanAbsoluteDeviation_6.0265 <= 0.00,0.728796840679538,1702066597700,LIME
657,age_84 <= 0.00,0.7030057579433162,1702066597700,LIME
657,pr_firstorder_MeanAbsoluteDeviation_5.5755 <= 0.00,0.5251987726453277,1702066597700,LIME
657,age_74 <= 0.00,0.3945630092101257,1702066597700,LIME
657,age_75 <= 0.00,0.37121388822755613,1702066597700,LIME
657,age_67 <= 0.00,0.24139297944118643,1702066597700,LIME
657,age_54 <= 0.00,0.031080310071542463,1702066597700,LIME
